,MSFT_Open,MSFT_Close,MSFT_Volume,AAPL_Open,AAPL_Close,AAPL_Volume,GOOGL_Open,GOOGL_Close,GOOGL_Volume,MSFT_SO_K,MSFT_SO_D,MSFT_SO_B/S_Decision,AAPL_SO_K,AAPL_SO_D,AAPL_SO_B/S_Decision,GOOGL_SO_K,GOOGL_SO_D,GOOGL_SO_B/S_Decision,MSFT_MACD,MSFT_signal_MACD,MSFT_signal_MACD_diff,MSFT_MACD_B/S_Decision,AAPL_MACD,AAPL_signal_MACD,AAPL_signal_MACD_diff,AAPL_MACD_B/S_Decision,GOOGL_MACD,GOOGL_signal_MACD,GOOGL_signal_MACD_diff,GOOGL_MACD_B/S_Decision,MSFT_Final_BorS_Decision,AAPL_Final_BorS_Decision,GOOGL_Final_BorS_Decision,Cash Balance,MSFT_owned_shares,AAPL_owned_shares,GOOGL_owned_shares,Portfolio Value,NS Portfolio Value,SP_500_Value_per_unit,SP_500_Total_Value,Strategy_Portfolio_DReturns,NS_Portfolio_DReturns,SP_500_DReturns,Maximum Value,Drawdown,Drawdown (%),Maximum Drawdown
2015-01-02,40.29172041179456,40.37807083129883,27913900,24.895681987830805,24.435272216796875,212818400,26.6299991607666,26.477500915527344,26480000,,,NA,,,NA,,,NA,0.0,0.0,0.0,NA,0.0,0.0,0.0,NA,0.0,0.0,0.0,NA,NA,NA,NA,0.0,8273,13389,12517,992630.5186576843,992630.5186576843,2058.199951171875,1000285.1762695312,,,,992630.5186576843,0.0,0.0,0.0
2015-01-05,40.04129783341237,40.00675964355469,39673900,24.202833477935947,23.74689292907715,257142000,26.357500076293945,25.972999572753906,41182000,,,NA,,,NA,,,NA,-0.029620265688990344,-0.005924053137798069,-0.023696212551192274,NA,-0.0549134474534263,-0.01098268949068526,-0.04393075796274104,NA,-0.040245121360847236,-0.008049024272169447,-0.03219609708867779,NA,NA,NA,NA,0.0,8273,13389,12517,974027.1076107025,974027.1076107025,2020.5799560546875,982001.8586425781,-0.018741526375935735,-0.018741526375935735,-0.018278105145113743,992630.5186576843,-18603.41104698181,-0.018741526375935787,-18603.41104698181
2015-01-06,40.04994210998469,39.41957473754883,36447900,23.811702378796827,23.749122619628906,263188400,26.024999618530273,25.332000732421875,54456000,,,NA,,,NA,,,NA,-0.0993304348339521,-0.024605329477028877,-0.07472510535692323,NA,-0.09713314239481718,-0.028212780071511647,-0.06892036232330553,NA,-0.12245137611322576,-0.030929494640380712,-0.09152188147284505,NA,NA,NA,NA,0.0,8273,13389,12517,961175.7977256775,961175.7977256775,2002.6099853515625,973268.4528808594,-0.013193996126606211,-0.013193996126606211,-0.008893471722946522,992630.5186576843,-31454.720932006836,-0.03168824687613118,-31454.720932006836
2015-01-07,39.70451941782852,39.9203987121582,29114100,23.959210415171157,24.082136154174805,160423600,25.547500610351562,25.25749969482422,46918000,,,NA,,,NA,,,NA,-0.11286292339938342,-0.04225684826149979,-0.07060607513788364,NA,-0.10253913832649175,-0.04307805172250767,-0.05946108660398408,NA,-0.19140563139865563,-0.0630247219920357,-0.12838090940661995,NA,NA,NA,NA,0.0,8273,13389,12517,968845.303194046,968845.303194046,2025.9000244140625,984587.4118652344,0.007979295240803985,0.007979295240803985,0.01162984267174294,992630.5186576843,-23785.215463638306,-0.02396180151281527,-31454.720932006836
2015-01-08,40.36944793819982,41.09480285644531,29645200,24.41292153262595,25.007431030273438,237458000,25.07550048828125,25.345500946044922,73054000,,,NA,,,NA,,,NA,-0.028494452236579093,-0.03950436905651565,0.011009916819936558,Buy,-0.03179337136678484,-0.04082111565136311,0.009027744284578268,Buy,-0.23622831699329794,-0.09766544099228815,-0.1385628760010098,NA,NA,NA,NA,0.0,8273,13389,12517,992051.4334373474,992051.4334373474,2062.139892578125,1002199.9877929688,0.023952358716914368,0.023952358716914368,0.017888280629516196,992630.5186576843,-579.0852203369141,-0.0005833844612394148,-31454.720932006836
2015-01-09,41.112064862781374,40.749385833740234,23944200,25.181757541223515,25.03424835205078,214798000,25.409000396728516,25.035999298095703,42000000,,,NA,,,NA,,,NA,0.010376290620904172,-0.029528237121031687,0.039904527741935855,NA,0.02613581498407669,-0.02742972952427515,0.05356554450835184,NA,-0.29334333526432843,-0.1368010198466962,-0.15654231541763222,NA,NA,NA,NA,0.0,8273,13389,12517,985678.8234024048,985678.8234024048,2044.81005859375,993777.6884765625,-0.006423668995530041,-0.006423668995530041,-0.008403811034715436,992630.5186576843,-6951.695255279541,-0.007003305988093322,-31454.720932006836
2015-01-12,40.94799025900198,40.239906311035156,23651900,25.166114001696847,24.417388916015625,198603200,24.961999893188477,24.85300064086914,57138000,,,NA,,,NA,,,NA,7.008688181997513e-05,-0.023608572320461357,0.023678659202281332,NA,0.02201592546147424,-0.017540598527125275,0.03955652398859952,NA,-0.349346808443304,-0.17931017756601778,-0.17003663087728624,NA,NA,NA,NA,0.0,8273,13389,12517,970914.1741294861,970914.1741294861,2028.260009765625,985734.3647460938,-0.014979168591604197,-0.014979168591604197,-0.008093685160912578,992630.5186576843,-21716.344528198242,-0.021877570878603297,-31454.720932006836
2015-01-13,40.55941136822993,40.03266525268555,35270600,24.904618828466912,24.634183883666992,268367600,25.12849998474121,25.09000015258789,60958000,,,NA,,,NA,,,NA,-0.024537423116939294,-0.023794342479756946,-0.0007430806371823487,Sell,0.03583138350613524,-0.006866202120473173,0.042697585626608414,NA,-0.3703370693046111,-0.21751555591373645,-0.15282151339087463,NA,NA,NA,NA,0.0,8273,13389,12517,975068.8595638275,975068.8595638275,2023.030029296875,983192.5942382812,0.004279147987582332,0.004279147987582332,-0.0025785552362955766,992630.5186576843,-17561.65909385681,-0.017692040254419252,-31454.720932006836
2015-01-14,39.687255859375,39.687255859375,29719600,24.370453153006157,24.540313720703125,195826400,25.020999908447266,25.296499252319336,52800000,,,NA,,,NA,,,NA,-0.07109120821633752,-0.03325371562707306,-0.03783749258926446,NA,0.038758907338809934,0.0022588197713834485,0.03650008756742649,NA,-0.36608920225948793,-0.24723028518288676,-0.11885891707660118,NA,NA,NA,NA,0.0,8273,13389,12517,973539.2092723846,973539.2092723846,2011.27001953125,977477.2294921875,-0.0015687612997169476,-0.0015687612997169476,-0.005813067327385291,992630.5186576843,-19091.309385299683,-0.01923304696607203,-31454.720932006836
2015-01-15,39.91177811339126,39.27277374267578,32750800,24.585017217562235,23.874286651611328,240056000,25.444499969482422,25.20050048828125,51068000,,,NA,,,NA,,,NA,-0.13981891572929328,-0.05456675564751711,-0.08525216008177616,NA,-0.012519510068425888,-0.0006968461965784188,-0.011822663871847468,Sell,-0.36624716564017135,-0.2710336612743437,-0.09521350436582765,NA,NA,NA,NA,0.0,8273,13389,12517,959991.1457633972,959991.1457633972,1992.6700439453125,968437.6413574219,-0.01391629980585285,-0.01391629980585285,-0.009247875921837956,992630.5186576843,-32639.37289428711,-0.03288169392416498,-32639.37289428711
2015-01-16,39.12597891113151,39.92905044555664,35695300,23.921216333634664,23.68877601623535,314053200,25.157499313354492,25.523000717163086,49658000,,,NA,,,NA,,,NA,-0.13971947476769486,-0.07159729947155266,-0.0681221752961422,NA,-0.06735080504632762,-0.014027637966528261,-0.05332316707979936,NA,-0.3364706552653409,-0.2841210600725432,-0.05234959519279775,NA,NA,NA,NA,0.0,8273,13389,12517,966973.4563941956,966973.4563941956,2019.4200439453125,981438.1413574219,0.0072733073233148815,0.0072733073233148815,0.013424199395820402,992630.5186576843,-25657.06226348877,-0.025847545266071744,-32639.37289428711
2015-01-20,39.980850358304146,40.05856704711914,36161900,24.1022556184336,24.29893684387207,199599600,25.638500213623047,25.496999740600586,46796000,,,NA,,,NA,,,NA,-0.12771751178404855,-0.08282134193405184,-0.04489616984999671,NA,-0.06086846808025825,-0.02339580398927426,-0.037472664090983994,NA,-0.31138120902491195,-0.28957308986301694,-0.021808119161895012,NA,NA,NA,NA,0.0,8273,13389,12517,975888.9363365173,975888.9363365173,2022.550048828125,982959.3237304688,0.009219984150927285,0.009219984150927285,0.0015499523698385698,992630.5186576843,-16741.582321166992,-0.0168658750728381,-32639.37289428711
2015-01-21,39.66998451733138,39.652713775634766,39081100,24.350334614316573,24.48443603515625,194303600,25.54199981689453,26.019500732421875,46356000,,,NA,,,NA,,,NA,-0.14923455376103334,-0.09610398429944815,-0.05313056946158519,NA,-0.040298400006335555,-0.02677632319268652,-0.013522076813649034,NA,-0.24649474086761103,-0.28095742006393576,0.03446267919632473,Buy,NA,NA,NA,0.0,8273,13389,12517,981555.105808258,981555.105808258,2032.1199951171875,987610.3176269531,0.005806162218634725,0.005806162218634725,0.004731623968765364,992630.5186576843,-11075.41284942627,-0.011157638860835492,-32639.37289428711
2015-01-22,40.04993658726173,40.697574615478516,35898000,24.64312405741486,25.121414184570312,215185600,26.149999618530273,26.864999771118164,56068000,,,NA,,,NA,,,NA,-0.08104123413995978,-0.09309143426755048,0.012050200127590699,Buy,0.02709006296787564,-0.01600304596057409,0.043093108928449725,Buy,-0.12540149075300988,-0.2498462342017506,0.12444474344874071,NA,NA,NA,NA,0.0,8273,13389,12517,1009310.8514461517,1009310.8514461517,2063.14990234375,1002690.8525390625,0.02827731777222864,0.02827731777222864,0.015269721916580492,1009310.8514461517,0.0,0.0,-32639.37289428711
2015-01-23,40.89618274764928,40.74074935913086,26211600,25.099059384105416,25.251039505004883,185859200,26.901500701904297,27.09749984741211,45966000,,,NA,,,NA,,,NA,-0.023245733699447158,-0.07912229415392982,0.055876560454482666,NA,0.08991905452971238,0.005181374137483204,0.08473768039222918,NA,-0.010551770295013085,-0.2019873414204031,0.19143557112539,NA,NA,NA,NA,0.0,8273,13389,12517,1014313.7929706573,1014313.7929706573,2051.820068359375,997184.5532226562,0.004956789592955868,0.004956789592955868,-0.005491522439307173,1014313.7929706573,0.0,0.0,-32639.37289428711
2015-01-26,40.585326081973065,40.59395980834961,42525500,25.420904403496216,25.277864456176758,222460000,27.075000762939453,26.836000442504883,30932000,,,NA,,,NA,,,NA,0.010590842181080973,-0.061179666886927664,0.07177050906800864,NA,0.1402592114932375,0.032196941608634067,0.10806226988460343,NA,0.05869010112871109,-0.14985185291058026,0.20854195403929135,NA,NA,NA,NA,0.0,8273,13389,12517,1010185.3742370605,1010185.3742370605,2057.090087890625,999745.7827148438,-0.0040701593157929095,-0.0040701593157929095,0.002568460857030219,1014313.7929706573,-4128.418733596802,-0.004070159315792949,-32639.37289428711
2015-01-27,37.088071123048316,36.837650299072266,169164000,25.125887249217126,24.392807006835938,382274800,26.56999969482422,26.059499740600586,39148000,,,NA,,,NA,,,NA,-0.2626683352016741,-0.10147740054987696,-0.16119093465179712,Sell,0.10749823638627021,0.0472572005641613,0.06024103582210891,NA,0.0503275215950616,-0.10981597800945189,0.1601434996045135,NA,NA,NA,NA,0.0,8273,13389,12517,957539.9321918488,957539.9321918488,2029.550048828125,986361.3237304688,-0.052114634984665176,-0.052114634984665176,-0.013387862410411011,1014313.7929706573,-56773.860778808594,-0.05597267943338614,-56773.860778808594
2015-01-28,36.90673778266936,35.56828308105469,84507100,26.290319313732432,25.771799087524414,585908400,26.25,25.62150001525879,35822000,,,NA,,,NA,,,NA,-0.5750269749280079,-0.19618731542550316,-0.37883965950250476,NA,0.1906108208857482,0.07592792462847868,0.11468289625726953,NA,0.008261961003309892,-0.08620039020689954,0.09446235121020943,NA,NA,NA,NA,0.0,8273,13389,12517,960019.3396034241,960019.3396034241,2002.1600341796875,973049.7766113281,0.0025893514497090653,0.0025893514497090653,-0.013495609366348305,1014313.7929706573,-54294.45336723328,-0.05352826092231198,-56773.860778808594
2015-01-29,35.34376260669496,36.27635955810547,63585300,25.99753087752175,26.574161529541016,337745600,25.645000457763672,25.661500930786133,79018000,,,NA,,,NA,,,NA,-0.7567146577417034,-0.3082927838887432,-0.44842187385296023,NA,0.31756143578682483,0.12425462686014792,0.1933068089266769,NA,-0.021598584216000916,-0.07328002900871983,0.05168144479271891,NA,NA,NA,NA,0.0,8273,13389,12517,977120.7784938812,977120.7784938812,2021.25,982327.5,0.01781363998096297,0.01781363998096297,0.009534685287099887,1014313.7929706573,-37193.01447677612,-0.036668154110226184,-56773.860778808594
2015-01-30,35.879143702735746,34.88610076904297,78004900,26.462415715058093,26.18527603149414,334982000,25.950000762939453,26.877500534057617,121108000,,,NA,,,NA,,,NA,-1.001342863543833,-0.4469027998197612,-0.5544400637240718,NA,0.3823830295456183,0.175880307397242,0.2065027221483763,NA,0.0522553567901376,-0.04817295184894835,0.10042830863908594,NA,NA,NA,NA,0.0,8273,13389,12517,975633.0466327667,975633.0466327667,1994.989990234375,969565.1352539062,-0.0015225670089706878,-0.0015225670089706878,-0.012991965252009852,1014313.7929706573,-38680.746337890625,-0.038134891397468756,-56773.860778808594
2015-02-02,35.05015903959813,35.6459846496582,50352500,26.384189966592054,26.513818740844727,250956400,26.715999603271484,26.610000610351562,75378000,12.239013402770011,,NA,97.90867499618251,,NA,78.28026690143479,,NA,-1.1209743065187183,-0.5817171011595527,-0.5392572053591657,NA,0.4550200723584439,0.2317082603894824,0.2233118119689615,NA,0.08818360318830543,-0.020901640841497596,0.10908524402980302,NA,NA,NA,NA,0.0,8273,13389,12517,982970.1277675629,982970.1277675629,2020.8499755859375,982133.0881347656,0.007520328631875239,0.007520328631875239,0.01296246371066978,1014313.7929706573,-31343.665203094482,-0.03090134968124328,-56773.860778808594
2015-02-03,35.948221445774706,35.92231369018555,52082400,26.484769921834232,26.518295288085938,207662800,26.496999740600586,26.665000915527344,47062000,16.689686613327567,,NA,98.06382054677073,,NA,80.73071575948958,,NA,-1.1798846667957932,-0.7013506142868008,-0.4785340525089924,NA,0.5071011259392044,0.2867868334994268,0.22031429243977763,NA,0.1197150615691207,0.007221699640626065,0.11249336192849464,NA,NA,NA,NA,0.0,8273,13389,12517,986004.5732307434,986004.5732307434,2050.030029296875,996314.5942382812,0.0030870169677201797,0.0030870169677201797,0.014439495293299576,1014313.7929706573,-28309.21973991394,-0.027909725704314547,-56773.860778808594
2015-02-04,36.21590896270221,36.12955856323242,41614800,26.484764382455506,26.7216739654541,280598800,26.656999588012695,26.30500030517578,33896000,20.027660800676344,,NA,100.0,,NA,64.69147594589909,,NA,-1.1960611738148827,-0.8002927261924172,-0.39576844762246555,NA,0.558350380062457,0.34109954281203286,0.2172508372504241,NA,0.11433692401528361,0.028644744515557576,0.08569217949972605,NA,NA,NA,NA,0.0,8273,13389,12517,985936.019536972,985936.019536972,2041.510009765625,992173.8647460938,-6.952675031390854e-05,-6.952675031390854e-05,-0.0041560462088314765,1014313.7929706573,-28377.773433685303,-0.02797731198209806,-56773.860778808594
2015-02-05,36.45769865204312,36.656307220458984,36548200,26.93035238263955,26.912403106689453,168984800,26.396499633789062,26.491500854492188,33176000,28.511699007234082,,NA,100.0,,NA,73.00070362451605,,NA,-1.1530849126543288,-0.8708511634847995,-0.28223374916952926,NA,0.6073548225645489,0.3943505987625361,0.21300422380201278,NA,0.12369783529019074,0.04765536267048421,0.07604247261970654,NA,NA,NA,NA,0.0,8273,13389,12517,995181.911026001,995181.911026001,2062.52001953125,1002384.7294921875,0.009377780409494552,0.009377780409494552,0.010291406686777416,1014313.7929706573,-19131.881944656372,-0.018861896660819468,-56773.860778808594
2015-02-06,36.85492669815348,36.62177658081055,34616600,26.930353463840554,26.68577766418457,174826400,26.550500869750977,26.694000244140625,42938000,27.955533819046014,21.084718728610802,Buy,92.96986170714433,97.78847145001951,Sell,82.02273353025755,75.74517915231941,Sell,-1.1090280649061413,-0.9184865437690679,-0.19054152113707334,NA,0.6207488111904169,0.4396302412481123,0.18111856994230463,NA,0.14577601810955088,0.06727949375829755,0.07849652435125333,NA,NA,NA,NA,0.0,8273,13389,12517,994396.6358547211,994396.6358547211,2055.469970703125,998958.4057617188,-0.0007890770145433379,-0.0007890770145433379,-0.0034181723141418763,1014313.7929706573,-19917.15711593628,-0.01963609018625704,-56773.860778808594
2015-02-09,36.4749692477932,36.578590393066406,31381100,26.600508458974105,26.863035202026367,155559200,26.55299949645996,26.464000701904297,30314000,28.86589352808185,24.41009475367317,Buy,98.46856031179054,97.90044851314113,Sell,71.77547919548864,74.44422161113019,NA,-1.0653171471467715,-0.9478526644446087,-0.11746448270216281,NA,0.6383088188454664,0.47936595676758315,0.15894286207788327,NA,0.14306493269721443,0.08243658154608093,0.060628351151133505,NA,NA,NA,NA,0.0,8273,13389,12517,993533.7534275055,993533.7534275055,2046.739990234375,994715.6352539062,-0.0008677447168492503,-0.0008677447168492503,-0.004247194360987749,1014313.7929706573,-20780.039543151855,-0.020486795789587564,-56773.860778808594
2015-02-10,36.90673428105304,36.78583908081055,29670700,26.96400368380051,27.37911033630371,248034000,26.607500076293945,27.007999420166016,47430000,32.44837469808003,27.561832370623666,NA,100.0,98.28768440378697,Sell,96.01245449384923,77.50056935800212,Sell,-1.0023976764081652,-0.9587616668373201,-0.043636009570845125,NA,0.6859608718070689,0.5206849397754804,0.16527593203158852,NA,0.18270640247540726,0.1024905457319462,0.08021585674346106,NA,NA,NA,NA,0.0,8273,13389,12517,1008967.283750534,1008967.283750534,2068.590087890625,1005334.7827148438,0.015533976847576403,0.015533976847576403,0.010675561019232394,1014313.7929706573,-5346.509220123291,-0.005271060353487629,-56773.860778808594
2015-02-11,36.82900956476752,36.59585952758789,38262500,27.54739888674424,28.020845413208008,294247200,26.986499786376953,26.899999618530273,38306000,29.203439493184934,29.39698810912538,NA,100.0,98.28768440378697,Sell,90.16188000471256,82.5946501697648,Sell,-0.9568335235064112,-0.9583760381711384,0.0015425146647272125,Buy,0.7666704251704104,0.5698820368544664,0.19678838831594403,NA,0.20306704103181872,0.12260584479192072,0.080461196239898,NA,NA,NA,NA,0.0,8273,13389,12517,1014635.9403343201,1014635.9403343201,2068.530029296875,1005305.5942382812,0.00561827590951669,0.00561827590951669,-2.903358867545336e-05,1014635.9403343201,0.0,0.0,-56773.860778808594
2015-02-12,36.83765632858994,37.20896911621094,33268800,28.285616812050993,28.375370025634766,297898000,26.982999801635742,27.300500869750977,48590000,39.675623761615,31.629773060001565,NA,100.0,98.28768440378697,Sell,100.0,87.9945094448616,Sell,-0.8613220003626694,-0.9389652306094446,0.07764323024677522,NA,0.8494485864871812,0.6257953467810093,0.2236532397061719,NA,0.2486537717243138,0.14781543017839935,0.10083834154591445,NA,NA,NA,NA,0.0,8273,13389,12517,1029468.0001583099,1029468.0001583099,2088.47998046875,1015001.2705078125,0.014618110037677878,0.014618110037677878,0.009644506431775834,1029468.0001583099,0.0,0.0,-56773.860778808594
2015-02-13,37.45938941600202,37.882511138916016,40264900,28.559363972044878,28.514488220214844,217088800,27.375499725341797,27.558000564575195,47382000,51.18002086318326,36.274670468829015,NA,100.0,99.6937120623581,Sell,100.0,91.5899627388101,Sell,-0.7229455516398176,-0.8957612948155192,0.1728157431757017,NA,0.9157206932233777,0.683780416069483,0.23194027715389465,NA,0.3020774962502877,0.17866784339277703,0.12340965285751065,NA,NA,NA,NA,0.0,8273,13389,12517,1040125.9904994965,1040125.9904994965,2096.989990234375,1019137.1352539062,0.010352910765121015,0.010352910765121015,0.004074738491730789,1040125.9904994965,0.0,0.0,-56773.860778808594
