,META_Open,META_Close,META_Volume,AAPL_Open,AAPL_Close,AAPL_Volume,AMZN_Open,AMZN_Close,AMZN_Volume,NFLX_Open,NFLX_Close,NFLX_Volume,GOOGL_Open,GOOGL_Close,GOOGL_Volume,META_SO_K,META_SO_D,META_SO_B/S_Decision,AAPL_SO_K,AAPL_SO_D,AAPL_SO_B/S_Decision,AMZN_SO_K,AMZN_SO_D,AMZN_SO_B/S_Decision,NFLX_SO_K,NFLX_SO_D,NFLX_SO_B/S_Decision,GOOGL_SO_K,GOOGL_SO_D,GOOGL_SO_B/S_Decision,META_MACD,META_signal_MACD,META_signal_MACD_diff,META_MACD_B/S_Decision,AAPL_MACD,AAPL_signal_MACD,AAPL_signal_MACD_diff,AAPL_MACD_B/S_Decision,AMZN_MACD,AMZN_signal_MACD,AMZN_signal_MACD_diff,AMZN_MACD_B/S_Decision,NFLX_MACD,NFLX_signal_MACD,NFLX_signal_MACD_diff,NFLX_MACD_B/S_Decision,GOOGL_MACD,GOOGL_signal_MACD,GOOGL_signal_MACD_diff,GOOGL_MACD_B/S_Decision,META_Final_BorS_Decision,AAPL_Final_BorS_Decision,AMZN_Final_BorS_Decision,NFLX_Final_BorS_Decision,GOOGL_Final_BorS_Decision,Cash Balance,META_owned_shares,AAPL_owned_shares,AMZN_owned_shares,NFLX_owned_shares,GOOGL_owned_shares,Portfolio Value,NS Portfolio Value,SP_500,SP_500_Value,Strategy_Portfolio_DReturns,NS_Portfolio_DReturns,SP_500_DReturns
2015-01-02,78.49671890392335,78.36685180664062,18177500,24.89567810125696,24.43526840209961,212818400,15.628999710083008,15.425999641418457,55664000,49.15142822265625,49.84857177734375,13475000,26.6299991607666,26.477500915527344,26480000,55.62129776399915,,NA,28.104556935430942,,NA,61.54543187007355,,NA,84.02273196399392,,NA,70.66640445260094,,NA,0.9783801462791502,1.052152575809498,-0.0737724295303479,Sell,-0.1581342249947646,-0.1541885056349958,-0.0039457193597687845,Sell,-0.1366252701214048,-0.20722621168191352,0.07060094156050872,NA,0.09730938225546737,-0.10971668232583208,0.20702606458129946,NA,-0.014182007836950561,-0.0858150628343813,0.07163305499743074,NA,NA,NA,NA,NA,NA,0.0,2548,8034,12797,4069,7510,995078.0725946426,995078.0725946426,2058.199951171875,1000285.1762695312,,,
2015-01-05,77.89735607512928,77.10819244384766,26452200,24.20282375808723,23.746883392333984,257142000,15.350500106811523,15.10949993133545,55484000,49.25857162475586,47.31142807006836,18165000,26.357500076293945,25.972999572753906,41182000,36.98230835367927,,NA,0.0,,NA,32.601703444390374,,NA,42.74940638731891,,NA,47.9513381075759,,NA,0.7731587428998239,0.9963538092275632,-0.22319506632773933,NA,-0.2438562557761621,-0.17212205566322908,-0.07173420011293302,NA,-0.14956182836503018,-0.19569333501853686,0.04613150665350668,NA,-0.019676204924152785,-0.09170858684549622,0.07203238192134344,NA,-0.058720104900359615,-0.08039607124757697,0.021675966347217357,NA,NA,NA,NA,NA,NA,0.0,2548,8034,12797,4069,7510,968177.8337507248,968177.8337507248,2020.5799560546875,982001.8586425781,-0.027033294758245563,-0.027033294758245563,-0.018278105145113743
2015-01-06,77.14814729855696,76.06929016113281,27399300,23.811704291171388,23.74912452697754,263188400,15.112000465393066,14.76449966430664,70380000,47.34714126586914,46.50143051147461,16037700,26.024999618530273,25.332000732421875,54456000,21.597614751662793,46.09467555900021,NA,0.1145989281342807,26.1231093364407,NA,1.3089817993126163,38.63042020009906,NA,26.305134730330238,57.48204308894194,NA,19.557192325558482,58.98123578451676,NA,0.5206864214840721,0.9012203316788651,-0.380533910194793,NA,-0.30805962236237505,-0.1993095690030583,-0.10875005335931676,NA,-0.1855142889927901,-0.19365752581338752,0.008143236820597421,NA,-0.1757225390988708,-0.10851137729617115,-0.06721116180269966,Sell,-0.14407926103179491,-0.09313270920442057,-0.05094655182737434,Sell,NA,NA,NA,NA,NA,0.0,2548,8034,12797,4069,7510,953023.9662361145,953023.9662361145,2002.6099853515625,973268.4528808594,-0.015651946353599233,-0.015651946353599233,-0.008893471722946522
2015-01-07,76.67864423201267,76.06929016113281,22045300,23.95921610800923,24.082141876220703,160423600,14.875,14.920999526977539,52806000,47.34714126586914,46.74285888671875,9849700,25.547500610351562,25.25749969482422,46918000,21.597614751662793,37.01181891003008,NA,19.06007373671655,17.364326064631843,Buy,19.265976783710535,32.730014482622416,NA,33.10771450426712,50.251474922943586,NA,16.12079644149153,45.4922025850763,NA,0.31694672326393913,0.7843656099958799,-0.46741888673194076,NA,-0.3282852677838868,-0.225104708759224,-0.10318055902466278,NA,-0.19908372877021918,-0.19474276640475388,-0.004340962365465301,Sell,-0.27671928335760043,-0.14215295850845702,-0.1345663248491434,NA,-0.2152572665723973,-0.11755762067801592,-0.09769964589438138,NA,NA,NA,NA,NA,NA,0.0,2548,8034,12797,4069,7510,958125.0256290436,958125.0256290436,2025.9000244140625,984587.4118652344,0.005352498545314832,0.005352498545314832,0.01162984267174294
2015-01-08,76.65866126598975,78.09713745117188,23961000,24.412925256635223,25.007434844970703,237458000,15.015999794006348,15.02299976348877,61768000,47.119998931884766,47.779998779296875,9601900,25.07550048828125,25.345500946044922,73054000,51.62720439449694,37.4852080031002,NA,71.66471481240512,23.78878888253738,Buy,30.96325509264424,29.13706979802626,NA,55.446114812541644,48.32622047969036,NA,20.179896116327193,34.89512548871081,NA,0.31547527089213645,0.6905875421751313,-0.37511227128299485,NA,-0.2665778840083348,-0.23339934380904617,-0.03317854019928865,NA,-0.1993095247855976,-0.19565611808092265,-0.003653406704674955,NA,-0.2699594843420243,-0.16771426367517048,-0.10224522066685385,NA,-0.26155039313421113,-0.14635617516925498,-0.11519421796495616,NA,NA,NA,NA,NA,NA,0.0,2548,8034,12797,4069,7510,976912.0928812027,976912.0928812027,2062.139892578125,1002199.9877929688,0.01960815838186125,0.01960815838186125,0.017888280629516196
2015-01-09,78.11711192932121,77.65760040283203,21157000,25.18175562263622,25.03424644470215,214798000,15.074000358581543,14.846500396728516,51848000,47.63142776489258,47.04142761230469,9578100,25.409000396728516,25.035999298095703,42000000,45.11827383581873,35.384603217464104,NA,74.41849952148046,33.05157739974728,NA,11.01297289161025,19.030578002333606,Buy,39.538426271694036,39.429359341230395,NA,5.903985022733351,21.94264160273729,Buy,0.275664479327105,0.6076029296055261,-0.33193845027842106,NA,-0.2130549014818648,-0.2293304553436099,0.016275553861745118,Buy,-0.2112948184447827,-0.19878385815369468,-0.01251096029108803,NA,-0.3205042422027944,-0.19827225938069526,-0.12223198282209913,NA,-0.31952889562577624,-0.18099071926055924,-0.138538176365217,NA,NA,NA,NA,NA,NA,0.0,2548,8034,12797,4069,7510,968419.2910232544,968419.2910232544,2044.81005859375,993777.6884765625,-0.00869351697029419,-0.00869351697029419,-0.008403811034715436
2015-01-12,77.7574951892084,76.63868713378906,19190200,25.16611596753166,24.417390823364258,198603200,14.878000259399414,14.570500373840332,68428000,47.09000015258789,45.547142028808594,12944400,24.961999893188477,24.85300064086914,57138000,30.029589642834143,33.99405947529508,NA,38.75997283243877,40.80357196623503,NA,0.0,12.510237313455528,Buy,7.353809926406852,32.35024004904798,NA,0.0,12.352373981222112,Buy,0.16005138208807068,0.518092620102035,-0.35804123801396437,NA,-0.21790082056093496,-0.22704452838707492,0.009143707826139963,NA,-0.24029418346861675,-0.2070859232166791,-0.033208260251937655,NA,-0.47565463474066405,-0.25374873445268903,-0.22190590028797502,NA,-0.37591047683666545,-0.2199746707757805,-0.15593580606088495,NA,NA,NA,NA,NA,NA,0.0,2548,8034,12797,4069,7510,949880.7417039871,949880.7417039871,2028.260009765625,985734.3647460938,-0.019143102054151595,-0.019143102054151595,-0.008093685160912578
2015-01-13,77.14814480385267,76.36896514892578,25179600,24.90462268504206,24.634187698364258,268367600,14.87399959564209,14.737000465393066,82728000,46.021427154541016,46.255714416503906,18721500,25.12849998474121,25.09000015258789,60958000,26.035383292641455,34.88161318349081,NA,51.29233354355851,51.03911888931988,NA,16.14155246919858,15.476751447432719,Buy,22.6153708373285,31.61228727044763,NA,10.661248640059306,10.573185244122277,Buy,0.046131089081654864,0.42370031389795904,-0.37756922481630417,NA,-0.20191994296692073,-0.2220196113030441,0.020099668336123366,NA,-0.24699402986235874,-0.21506754454581503,-0.03192648531654371,NA,-0.5352663514172562,-0.3100522578456025,-0.22521409357165373,NA,-0.3968942563167843,-0.2553585878839813,-0.14153566843280302,NA,NA,NA,NA,NA,NA,0.0,2548,8034,12797,4069,7510,957728.9852304459,957728.9852304459,2023.030029296875,983192.5942382812,0.008262346189248815,0.008262346189248815,-0.0025785552362955766
2015-01-14,76.33900109061976,76.19915008544922,25918600,24.370455047152706,24.540315628051758,195826400,14.596500396728516,14.66349983215332,110774000,47.07143020629883,46.31999969482422,19884900,25.020999908447266,25.296499252319336,52800000,23.520659084155927,35.266222049989445,NA,45.86587780771894,56.400279703520354,NA,9.015944807998476,13.42674505229031,Buy,23.999976994438406,29.790739768481888,NA,19.950458690407142,11.339117693905397,Buy,-0.05719491294237855,0.32752126852989155,-0.3847161814722701,NA,-0.1945866006835253,-0.21653300917914034,0.02194640849561505,NA,-0.25529174886390393,-0.22311238540943282,-0.032179363454471116,NA,-0.570742616053785,-0.362190329487239,-0.20855228656654595,NA,-0.3923386652606169,-0.28275460335930847,-0.10958406190130843,NA,NA,NA,NA,NA,NA,0.0,2548,8034,12797,4069,7510,957413.9256687164,957413.9256687164,2011.27001953125,977477.2294921875,-0.00032896525696524126,-0.00032896525696524126,-0.005813067327385291
2015-01-15,76.31902724495352,73.97151947021484,34134000,24.58501525343239,23.874284744262695,240056000,14.699999809265137,14.34749984741211,88384000,46.547142028808594,46.25143051147461,11669000,25.444499969482422,25.20050048828125,51068000,0.0,24.940781171090048,Buy,7.364680406278529,43.540272822295044,NA,0.0,7.23409403376146,Buy,22.523102102790492,23.206137226531656,Buy,15.632024930244052,10.42954345668877,Buy,-0.3151992665931118,0.19897716150529088,-0.5141764280984027,NA,-0.23975426226593655,-0.2211772597964996,-0.018577002469436943,Sell,-0.2840914790710922,-0.2353082041417647,-0.04878327492932752,NA,-0.5975031272920219,-0.4092528890481956,-0.1882502382438263,NA,-0.3919563951511513,-0.3045949617176771,-0.08736143343347424,NA,NA,NA,NA,NA,NA,0.0,2548,8034,12797,4069,7510,941343.220211029,941343.220211029,1992.6700439453125,968437.6413574219,-0.01678553552107842,-0.01678553552107842,-0.009247875921837956
